Time (s),1Hz,2Hz,4Hz,8Hz,16Hz,32Hz,64Hz,128Hz,256Hz,512Hz,1024Hz,2048Hz,4096Hz
0.0002,0.001256637,0.002513271,0.005026527,0.010052927,0.020104838,0.040201549,0.0803381,0.160156842,0.31617894,0.59991765,0.959942337,0.537947128,-0.906955813
0.0004,0.002513271,0.005026527,0.010052927,0.020104838,0.040201549,0.0803381,0.160156842,0.31617894,0.59991765,0.959942337,0.537947128,-0.906955813,-0.76406633
0.0006,0.003769902,0.007539751,0.015079073,0.030154718,0.060282009,0.120344759,0.238940224,0.464038297,0.822104296,0.936108653,-0.658479321,0.99114152,0.263266949
0.0008,0.005026527,0.010052927,0.020104838,0.040201549,0.0803381,0.160156842,0.31617894,0.59991765,0.959942337,0.537947128,-0.906955813,-0.76406633,0.985855979
0.001,0.006283144,0.01256604,0.025130095,0.050244318,0.100361715,0.199709981,0.391373667,0.720309025,0.999289473,-0.075326806,0.150225589,0.297041582,0.567268949
0.0012,0.007539751,0.015079073,3.02E-02,0.060282009,0.120344759,0.238940224,0.464038297,0.822104296,0.936108653,-0.658479321,0.99114152,0.263266949,-0.507959374
0.0014,0.008796346,0.017592011,0.035178578,0.070313608,0.140279154,0.277784145,0.533703077,0.902675431,0.776882284,-0.978321437,0.405205413,-0.740898379,-0.995200111
0.0016,0.010052927,0.020104838,0.040201549,0.0803381,0.160156842,0.31617894,0.59991765,0.959942337,0.537947128,-0.906955813,-0.76406633,0.985855979,-0.330448502
0.0018,0.011309492,0.022617538,0.045223505,0.090354473,0.179969787,0.354062531,0.66225396,0.992426564,0.243818136,-0.472919883,-0.833384557,-0.921212569,0.716813258
0.002,0.01256604,0.025130095,0.050244318,0.100361715,0.199709981,0.391373667,0.720309025,0.999289473,-0.075326806,0.150225589,0.297041582,0.567268949,0.934328942
0.0022,0.013822567,0.027642494,5.53E-02,0.110358813,0.219369442,0.428052023,0.773707538,0.980353883,-0.386743152,0.71329938,0.999845249,-0.035178578,0.070313608
