Time(s),Mean_of_cell0,Mean_of_cell1,Mean_of_cell2,Mean_of_cell3,Mean_of_cell4,Mean_of_cell5,Mean_of_cell6,Mean_of_cell7,Mean_of_cell8,Mean_of_cell9,Mean_of_cell10,Mean_of_cell11,Mean_of_cell12,Mean_of_cell13,Mean_of_cell14,Mean_of_cell15,Mean_of_cell16,Mean_of_cell17,Mean_of_cell18,Mean_of_cell19,Mean_of_cell20,Mean_of_cell21,Mean_of_cell22,Mean_of_cell23,Mean_of_cell24,Mean_of_cell25,Mean_of_cell26,Mean_of_cell27,Mean_of_cell28,Mean_of_cell29,Mean_of_cell30,Mean_of_cell31,Mean_of_cell32,Mean_of_cell33,Mean_of_cell34,Mean_of_cell35,Mean_of_cell36,Mean_of_cell37,Mean_of_cell38,Mean_of_cell39,Mean_of_cell40,Mean_of_cell41,Mean_of_cell42,Mean_of_cell43,Mean_of_cell44,Mean_of_cell45,Mean_of_cell46,Mean_of_cell47,Mean_of_cell48,Mean_of_cell49,Mean_of_cell50,Mean_of_cell51,Mean_of_cell52,Mean_of_cell53,Mean_of_cell54,Mean_of_cell55,Mean_of_cell56,Mean_of_cell57,Mean_of_cell58,Mean_of_cell59,Mean_of_cell60,Mean_of_cell61,Mean_of_cell62,Mean_of_cell63,Mean_of_cell64,Mean_of_cell65,Mean_of_cell66,Mean_of_cell67,Mean_of_cell68,Mean_of_cell69,Mean_of_cell70,Mean_of_cell71,Mean_of_cell72,Mean_of_cell73,Mean_of_cell74,Mean_of_cell75,Mean_of_cell76,Mean_of_cell77,Mean_of_cell78
0,1.2323,1.8589,4.0411,2.0121,1.113,3.5413,1.6975,2.5405,1.8926,3.3574,2.2648,1.1596,2.0211,2.3354,2.5644,1.4894,1.4516,0.9727,1.6746,1.758,1.3275,1.9333,0.697,1.3112,1.1825,0.7897,1.8734,1.7445,0.9571,1.2545,1.6137,1.8321,1.0501,1.1327,0.9031,1.1596,1.3612,0.9213,1.5279,1.6693,1.0003,0.5094,0.9109,0.5316,0.8531,0.6479,1.0998,1.6608,0.3447,1.3336,0.8424,0.2,0.5121,0.6689,0.6661,1.3191,1.0664,1.1174,1.8336,1.8158,0.9994,1.118,1.5224,1.268,0.4889,1.7919,1.249,1.2658,0.7569,0.9193,1.4692,1.5306,0.7552,0.7263,0.7524,1.031,1.4986,1.6558,1.8543
2,1.2382,1.8887,4.1232,1.9937,1.1,3.4561,1.6653,2.562,1.8614,3.3859,2.2605,1.1398,2.0844,2.2627,2.5362,1.5051,1.4956,0.8876,1.6784,1.7756,1.2974,1.8666,0.6968,1.2883,1.2279,0.8392,1.8145,1.6633,0.9306,1.2656,1.5151,1.8694,1.0376,1.1119,0.951,1.1255,1.3082,0.912,1.5319,1.6046,0.9735,0.5073,0.9633,0.5208,0.8445,0.7124,1.1556,1.6931,0.3071,1.4007,0.8337,0.1997,0.5037,0.6818,0.7368,1.3356,1.1047,1.0936,1.7783,1.8923,0.967,1.1228,1.4685,1.3019,0.5141,1.8271,1.2512,1.3229,0.7221,0.9294,1.4543,1.6119,0.786,0.7313,0.8315,1.1065,1.871,1.4825,1.8872
4,1.2362,1.8459,3.9823,1.9312,1.0847,3.3283,1.5964,2.554,1.7899,3.4264,2.1755,1.1458,1.9391,2.1042,2.5407,1.495,1.4396,0.8872,1.6689,1.6894,1.3156,1.8668,0.701,1.3138,1.2152,0.8464,1.7521,1.5715,0.9297,1.1629,1.4973,1.7924,1.02,1.0768,0.9587,1.1897,1.3714,0.9447,1.557,1.5557,0.9764,0.561,0.9533,0.4996,0.8125,0.8323,1.1826,1.7055,0.2856,1.4103,0.8189,0.2153,0.4521,0.6958,0.7862,1.3654,1.1703,1.0675,1.7662,1.8772,0.98,1.1413,1.4818,1.3047,0.56,1.8257,1.2176,1.3107,0.7298,0.96,1.4569,1.5568,0.8195,0.7115,0.9459,1.0237,1.8647,1.6874,1.9117
6,1.2293,1.7929,3.5655,2.0227,1.0568,3.4283,1.5587,2.5912,1.8604,3.1857,2.0635,1.0518,2.0462,2.2741,2.5869,1.4446,1.4064,0.8779,1.6716,1.6984,1.2293,1.8256,0.7312,1.3827,1.203,0.8501,1.6708,1.4833,0.9083,1.194,1.476,1.8009,0.9246,0.9802,0.9804,1.1453,1.4595,0.9407,1.5683,1.5571,0.9815,0.571,0.9331,0.4786,0.821,0.8555,1.1753,1.6798,0.2667,1.431,0.8402,0.2061,0.4574,0.6768,0.8634,1.3157,1.1487,1.0545,1.7832,1.9388,0.9828,1.1394,1.4692,1.2772,0.6256,1.783,1.1642,1.2591,0.7339,0.9419,1.5285,1.5754,0.7927,0.7065,0.9983,1.0232,2.0215,2.071,1.7567
8,1.2248,1.8118,3.6988,2.0773,1.0612,3.262,1.5572,2.4855,1.8504,2.8789,2.0302,1.1791,2.1196,2.2292,2.5503,1.4079,1.3873,0.8921,1.5877,1.7182,1.1639,1.8031,0.754,1.3982,1.2093,0.8275,1.6669,1.4681,0.9038,1.1133,1.442,1.7334,0.8783,0.92,1.0159,1.1043,1.431,0.915,1.5763,1.5657,0.9228,0.577,0.9104,0.4436,0.8133,0.8756,1.1633,1.6465,0.272,1.4367,0.8459,0.241,0.4479,0.6727,0.885,1.32,1.2313,1.0455,1.8467,1.9561,1.015,1.1593,1.4346,1.2601,0.6948,1.7253,1.201,1.2479,0.7137,0.9441,1.5655,1.5718,0.81,0.7302,1.004,1.0313,2.1449,1.6369,1.7513
10,1.2124,1.7411,3.4846,2.0945,1.0778,3.4868,1.4913,2.4246,1.836,2.81,1.9341,1.1027,2.06,2.4883,2.4581,1.3012,1.2364,0.9193,1.6079,1.7145,1.1907,1.9071,0.736,1.3354,1.1172,0.8545,1.5536,1.3886,0.8965,1.0802,1.4051,1.712,0.8401,0.8813,0.9301,1.0063,1.5092,0.9316,1.5644,1.501,0.8709,0.6971,0.9074,0.4546,0.7836,0.8583,1.2211,1.5933,0.2388,1.4264,0.8733,0.2906,0.4137,0.7141,0.8731,1.269,1.24,1.0483,1.8703,1.9322,1.0009,1.1194,1.3759,1.2811,0.7025,1.7132,1.1646,1.1745,0.7318,0.9368,1.5548,1.6015,0.8385,0.7343,0.92,1.0135,2.182,1.7757,1.912
12,1.2053,1.7791,3.6334,2.2634,1.0726,3.2341,1.5179,2.3554,1.7763,2.6563,1.8296,1.0169,1.8913,2.254,2.5308,1.3202,1.2244,0.9071,1.5748,1.7165,1.1331,1.7302,0.7178,1.354,1.1463,0.8702,1.5653,1.3892,0.8543,1.0508,1.3731,1.6632,0.8094,0.8357,1.0034,1.0183,1.5303,0.9548,1.5148,1.4703,0.8809,0.6558,0.8816,0.4485,0.7995,0.8839,1.2507,1.6099,0.2487,1.414,0.8989,0.3881,0.4172,0.6857,0.8558,1.2592,1.2581,1.0021,1.8594,1.9088,1.021,1.1337,1.4281,1.3066,0.6994,1.6606,1.1973,1.1674,0.6953,0.9272,1.478,1.6334,0.8536,0.7272,0.9907,1.0155,2.1175,1.6939,2.1327
14,1.1973,1.6274,3.2225,2.1497,1.0827,3.2488,1.483,2.4376,1.7976,2.8182,1.7792,1.0513,1.9086,2.4772,2.5145,1.3049,1.1915,1.0036,1.5979,1.6621,1.1489,1.8081,0.7375,1.3369,1.0929,0.8844,1.5197,1.3334,0.8394,1.045,1.3897,1.6159,0.7631,0.7973,0.9525,0.9899,1.5624,0.9628,1.4868,1.4231,0.9128,0.6638,0.8365,0.4497,0.808,0.8198,1.2684,1.5437,0.2368,1.3373,0.9082,0.7657,0.4442,0.7188,0.8099,1.2525,1.3241,1.0276,1.8546,1.8845,1.0062,1.139,1.3782,1.2571,0.6436,1.5694,1.1967,1.1544,0.7065,0.9286,1.4578,1.5685,0.8615,0.7058,0.905,1.0335,1.9766,1.524,1.8408
16,1.1894,1.785,2.9937,2.2112,1.0993,3.459,1.4929,2.3194,1.7947,2.6344,1.7956,1.0402,1.8143,2.4947,2.3688,1.2759,1.1869,1.1202,1.5552,1.6434,1.1498,1.7831,0.7322,1.3506,1.0863,0.9052,1.4607,1.3105,0.8,0.9926,1.3837,1.6002,0.7641,0.7507,0.9876,0.9176,1.5254,0.9081,1.4871,1.3637,0.8915,0.6658,0.8397,0.4775,0.8553,0.8352,1.2339,1.5188,0.2564,1.3851,0.8843,1.1213,0.4584,0.7361,0.7984,1.2584,1.4011,1.011,1.8445,1.8477,0.9944,1.1653,1.4108,1.2247,0.598,1.5995,1.1847,1.0662,0.7022,0.9017,1.3749,1.5261,0.8383,0.7148,0.7878,1.0173,1.7604,1.7543,1.7854
18,1.1834,1.6622,2.9348,2.2738,1.0842,3.1561,1.5395,2.3556,1.8321,2.7135,1.7632,1.0435,1.8579,2.5486,2.486,1.2364,1.169,1.1992,1.5533,1.6015,1.1064,1.8335,0.7654,1.4443,1.0483,0.8933,1.4917,1.2847,0.8067,0.9783,1.4519,1.6141,0.7481,0.7616,0.9697,0.8972,1.4912,0.8665,1.4515,1.3347,0.8949,0.6457,0.8666,0.49,0.8781,0.7551,1.231,1.5213,0.2336,1.3848,0.8924,1.0936,0.5153,0.7238,0.7266,1.262,1.4348,1.0316,1.8099,1.8034,0.9449,1.2033,1.4031,1.192,0.5667,1.5129,1.1341,1.0864,0.6737,0.9031,1.3332,1.5092,0.8213,0.7125,0.7983,1.0645,1.9055,1.654,1.8777
