id,x,y
0,0,0
0,512,0
0,512,512
0,0,512
1,19,4
1,26,9
1,20,18
1,22,29
1,24,35
1,17,39
1,4,37
1,2,36
1,0,34
1,1,0
2,18,54
2,31,59
2,43,64
2,49,66
2,52,71
2,46,75
2,35,80
2,26,85
2,13,90
2,9,96
2,4,95
2,2,93
2,1,56
3,68,44
3,73,38
3,78,34
3,77,31
3,78,26
3,85,22
3,91,17
3,93,12
3,95,11
3,90,7
3,79,7
3,59,11
3,52,11
3,46,10
3,42,11
3,42,16
3,44,22
3,41,29
3,38,33
3,34,36
3,39,39
3,48,41
3,51,41
3,56,46
4,44,106
4,53,113
4,59,120
4,61,127
4,59,134
4,56,139
4,48,141
4,40,141
4,34,137
4,26,131
4,25,124
4,32,114
4,35,110
5,4,139
5,10,144
5,19,146
5,19,149
5,15,154
5,11,161
5,9,166
5,8,171
5,5,176
5,2,176
5,0,144
6,29,169
6,36,176
6,31,182
6,29,191
6,29,198
6,37,199
6,42,198
6,51,194
6,58,188
6,61,183
6,63,175
6,59,168
6,53,165
6,48,161
6,43,160
6,37,161
6,35,162
7,28,215
7,34,220
7,37,224
7,40,230
7,42,235
7,44,240
7,46,244
7,41,245
7,36,247
7,28,247
7,20,244
7,17,239
7,12,227
7,7,215
7,12,210
7,16,211
7,19,213
8,28,270
8,34,279
8,45,287
8,54,295
8,61,303
8,67,311
8,71,318
8,76,325
8,71,325
8,61,320
8,47,314
8,38,311
8,32,306
8,24,301
8,18,296
8,12,289
8,15,278
8,19,273
8,19,271
9,21,333
9,31,342
9,43,348
9,53,351
9,63,355
9,71,360
9,75,367
9,78,372
9,75,374
9,68,369
9,56,364
9,48,365
9,41,367
9,36,370
9,26,377
9,21,383
9,16,385
9,14,377
9,13,370
9,8,365
9,5,355
9,4,346
9,8,337
9,14,331
10,55,372
10,60,372
10,66,369
10,71,374
10,74,379
10,78,384
10,82,388
10,85,390
10,89,395
10,94,404
10,94,412
10,88,418
10,83,421
10,73,422
10,66,420
10,57,421
10,49,421
10,39,421
10,35,418
10,30,415
10,24,406
10,22,396
10,22,390
10,22,386
10,31,376
10,39,375
10,43,375
10,45,374
11,8,418
11,12,421
11,17,426
11,24,433
11,22,439
11,19,447
11,14,450
11,12,453
11,3,455
11,1,454
11,2,436
11,2,427
11,2,418
12,48,458
12,56,460
12,66,462
12,71,464
12,76,466
12,79,474
12,76,482
12,72,488
12,71,492
12,72,497
12,72,502
12,70,507
12,65,504
12,56,496
12,54,494
12,46,489
12,41,487
12,35,484
12,29,481
12,25,477
12,26,474
12,30,471
12,36,467
12,40,462
12,42,458
13,31,499
13,34,500
13,38,504
13,41,506
13,44,507
13,46,511
13,6,511
13,11,509
13,17,504
13,18,503
13,20,502
13,24,500
14,102,441
14,110,450
14,115,459
14,120,465
14,126,471
14,129,477
14,134,484
14,141,488
14,149,494
14,155,502
14,158,507
14,160,510
14,122,510
14,117,509
14,114,507
14,113,502
14,123,504
14,128,504
14,132,503
14,133,499
14,130,495
14,127,490
14,119,483
14,120,475
14,120,472
14,116,466
14,110,458
14,107,455
14,102,451
14,101,448
14,99,445
15,127,389
15,136,387
15,142,387
15,144,377
15,154,374
15,159,373
15,157,369
15,149,363
15,140,359
15,134,354
15,124,353
15,117,353
15,109,353
15,106,353
15,102,354
15,100,361
15,97,367
15,96,369
15,94,377
15,99,381
15,103,382
15,106,384
15,107,387
15,110,390
15,114,391
15,117,390
16,94,284
16,103,274
16,109,268
16,108,259
16,100,251
16,94,245
16,87,242
16,81,239
16,74,235
16,70,232
16,62,225
16,66,235
16,68,240
16,70,253
16,68,258
16,68,265
16,66,269
16,61,269
16,56,274
16,61,274
16,68,276
16,73,281
16,75,284
16,83,286
16,88,285
16,88,284
17,87,191
17,95,198
17,100,205
17,109,214
17,120,218
17,126,219
17,139,221
17,146,220
17,154,216
17,161,212
17,166,205
17,167,198
17,169,193
17,160,193
17,149,196
17,134,191
17,127,188
17,115,186
17,107,183
17,100,185
